ear,mar,pitch_dev,label
0.2492,0.0,0.0,AWAKE
0.2661,0.0,0.0,AWAKE
0.2792,0.0154,0.0,AWAKE
0.2746,0.0152,0.0,AWAKE
0.2805,0.0149,0.0,AWAKE
0.2686,0.0151,0.0,AWAKE
0.2714,0.0151,0.0,AWAKE
0.2687,0.0154,0.0,AWAKE
0.268,0.0,0.0,AWAKE
0.2648,0.0151,0.0,AWAKE
0.2686,0.0,0.0,AWAKE
0.2585,0.0152,0.0,AWAKE
0.2615,0.0,0.0,AWAKE
0.2477,0.0,0.0,AWAKE
0.2657,0.0149,0.0,AWAKE
0.2759,0.0,0.0,AWAKE
0.2765,0.0,0.0,AWAKE
0.2666,0.0,0.0,AWAKE
0.2728,0.0,0.0,AWAKE
0.2658,0.0,0.0,AWAKE
0.2765,0.0,0.0,AWAKE
0.2797,0.0154,0.0,AWAKE
0.2768,0.0154,0.0,AWAKE
0.2693,0.0,0.0,AWAKE
0.2869,0.0152,0.0,AWAKE
0.2889,0.0,0.0,AWAKE
0.2824,0.0,0.0,AWAKE
0.2833,0.0152,0.0,AWAKE
0.2722,0.0,0.0,AWAKE
0.2732,0.0,0.0,AWAKE
0.2746,0.0,0.0,AWAKE
0.27,0.0,0.0,AWAKE
0.2752,0.0,0.0,AWAKE
0.2818,0.0154,0.0,AWAKE
0.289,0.0,0.0,AWAKE
0.2643,0.0,0.0,AWAKE
0.2631,0.0156,0.0,AWAKE
0.2721,0.0,0.0,AWAKE
0.2703,0.0,0.0,AWAKE
0.2838,0.0,0.0,AWAKE
0.2909,0.0,0.0,AWAKE
0.2894,0.0,0.0,AWAKE
0.2894,0.0,0.0,AWAKE
0.2774,0.0149,0.0,AWAKE
0.2732,0.0,0.0,AWAKE
0.2784,0.0,0.0,AWAKE
0.2927,0.0149,0.0,AWAKE
0.287,0.0,0.0,AWAKE
0.2679,0.0,0.0,AWAKE
0.2868,0.0,0.0,AWAKE
0.2645,0.0,0.0,AWAKE
0.257,0.0,0.0,AWAKE
0.2555,0.0,0.0,AWAKE
0.283,0.0,0.0,AWAKE
0.2777,0.0,0.0,AWAKE
0.256,0.0,0.0,AWAKE
0.2873,0.0,0.0,AWAKE
0.266,0.0154,0.0,AWAKE
0.2691,0.0151,0.0,AWAKE
0.3282,0.0,0.0,AWAKE
0.3144,0.0,0.0,AWAKE
0.3117,0.0,0.0,AWAKE
0.308,0.0,0.0,AWAKE
0.3088,0.0,0.0,AWAKE
0.3031,0.0,0.0,AWAKE
0.2881,0.0,0.0,AWAKE
0.2892,0.0,0.0,AWAKE
0.2959,0.0,0.0,AWAKE
0.3065,0.0,0.0,AWAKE
0.3083,0.0,0.0,AWAKE
0.33,0.0,0.0,AWAKE
0.319,0.0164,0.0,AWAKE
0.2923,0.0,0.0,AWAKE
0.2992,0.0,0.0,AWAKE
0.2888,0.0159,0.0,AWAKE
0.2757,0.0,0.0,AWAKE
0.2779,0.0,0.0,AWAKE
0.2695,0.0,0.0,AWAKE
