timestamp,status,ear,mar,source,ml_confidence,snapshot_path
2026-07-30T11:48:39,AWAKE,0.225,0.0,RULE,0.0,
2026-07-30T11:48:40,HEAD_DROP,0.224,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114840_248992.jpg
2026-07-30T11:48:41,HEAD_DROP,0.2409,0.0,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/HEAD_DROP_20260730_114841_252680.jpg
2026-07-30T11:48:41,AWAKE,0.1087,0.0176,RULE,0.0,
2026-07-30T11:48:41,EYE_WARNING,0.0904,0.0,RULE,0.0,
2026-07-30T11:48:42,DROWSY_ALERT,0.1136,0.0166,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/DROWSY_ALERT_20260730_114842_784200.jpg
2026-07-30T11:48:43,AWAKE,0.1932,0.0231,RULE,0.0,
2026-07-30T11:48:44,AWAKE,0.1897,0.0,RULE,0.0,
2026-07-30T11:48:44,EYE_WARNING,0.121,0.0494,RULE,0.0,
2026-07-30T11:48:45,DROWSY_ALERT,0.1297,0.0349,RULE,0.0,/Users/mac/Desktop/drowsiness_detector/logs/snapshots/DROWSY_ALERT_20260730_114845_788824.jpg
2026-07-30T11:48:45,AWAKE,0.2098,0.0387,RULE,0.0,
2026-07-30T11:48:46,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T11:48:47,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T11:48:48,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T11:48:49,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T11:48:50,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T12:32:13,AWAKE,0.1234,0.0,ML,0.6139,
2026-07-30T12:32:14,AWAKE,0.1469,0.0,ML,0.533,
2026-07-30T12:32:15,AWAKE,0.1035,0.0167,ML,0.6611,
2026-07-30T12:32:16,AWAKE,0.1271,0.0,ML,0.539,
2026-07-30T12:32:17,AWAKE,0.1122,0.0,ML,0.7101,
2026-07-30T12:32:18,AWAKE,0.0682,0.0,ML,0.355,
2026-07-30T12:32:19,AWAKE,0.2635,0.1393,ML,0.8526,
2026-07-30T12:32:20,AWAKE,0.1238,0.0944,ML,0.5053,
2026-07-30T12:32:21,AWAKE,0.1229,0.0182,ML,0.6735,
2026-07-30T12:32:22,AWAKE,0.254,0.0735,ML,0.8511,
2026-07-30T12:32:22,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T12:32:22,AWAKE,0.1934,0.0,ML,0.4007,
2026-07-30T12:32:22,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T12:32:22,AWAKE,0.2044,0.0,ML,0.4128,
2026-07-30T12:32:23,NO_FACE,0.0,0.0,RULE,0.0,
2026-07-30T12:32:23,AWAKE,0.2225,0.0307,ML,0.8451,
2026-07-30T12:32:24,AWAKE,0.2092,0.0,ML,0.5226,
2026-07-30T12:32:25,AWAKE,0.1531,0.0,ML,0.5405,
